applicant_id,age,gender,county_name,education_level,program_id,program_name,application_date,application_status,drop_off_reason
APP00053,24,Female,Nakuru,Diploma,P003,Code Hack,8/6/2025,Qualified,Interview Slots Full
APP00054,23,Female,Lamu,Certificate,P005,Django Girls,1/2/2025,Qualified,No Response
APP00055,21,Female,Lamu,KCSE,P002,Technovation,8/23/2025,Applied,Did Not Meet Requirements
APP00056,25,Female,Kilifi,KCSE,P007,Women Digital Skills,1/5/2025,Qualified,Interview Slots Full
APP00057,20,Female,Nakuru,KCSE,P008,Web Development Classes,3/31/2024,Interviewed,Cohort Full
APP00058,28,Female,Kisumu,Bachelor's,P003,Code Hack,1/5/2025,Qualified,Interview Slots Full
APP00059,27,Female,Mombasa,Certificate,P004,Africa Code Week,3/4/2024,Qualified,Interview Slots Full
APP00060,24,Female,Lamu,Bachelor's,P001,STEM Cafe Kenya,9/13/2024,Interviewed,Low Interview Score
APP00061,27,Female,Nakuru,Bachelor's,P006,Mombasa Girls in STEM,4/10/2024,Enrolled,
APP00062,20,Female,Tana River,KCSE,P003,Code Hack,7/14/2024,Qualified,No Response
APP00063,18,Male,Tana River,KCSE,P008,Web Development Classes,6/14/2024,Applied,Gender Mismatch
APP00064,25,Female,Kisumu,Diploma,P006,Mombasa Girls in STEM,7/19/2024,Applied,Did Not Meet Requirements
APP00065,19,Female,Kilifi,Certificate,P003,Code Hack,6/23/2025,Enrolled,
APP00066,20,Female,Mombasa,KCSE,P003,Code Hack,3/1/2025,Qualified,Could Not Be Reached
APP00067,29,Male,Taita Taveta,Diploma,P002,Technovation,1/5/2024,Applied,Gender Mismatch
APP00068,18,Female,Nairobi,Diploma,P002,Technovation,3/10/2025,Interviewed,Low Interview Score
APP00069,18,Female,Kilifi,KCSE,P001,STEM Cafe Kenya,7/9/2024,Qualified,Interview Slots Full
APP00070,23,Female,Kwale,Diploma,P007,Women Digital Skills,3/5/2025,Applied,Incomplete Application
APP00071,34,Female,Kwale,Bachelor's,P004,Africa Code Week,3/10/2024,Applied,Incomplete Application
APP00072,20,Female,Mombasa,KCSE,P003,Code Hack,6/30/2025,Qualified,Interview Slots Full
APP00073,18,Female,Mombasa,KCSE,P007,Women Digital Skills,4/9/2025,Qualified,No Response
APP00074,18,Female,Lamu,Certificate,P002,Technovation,4/3/2025,Interviewed,Cohort Full
APP00075,18,Female,Mombasa,KCSE,P005,Django Girls,9/1/2025,Applied,Incomplete Application
APP00076,21,Male,Kisumu,KCSE,P002,Technovation,8/18/2025,Applied,Gender Mismatch
APP00077,21,Male,Kwale,Diploma,P004,Africa Code Week,2/25/2024,Applied,Gender Mismatch
APP00078,22,Female,Nakuru,KCSE,P001,STEM Cafe Kenya,6/24/2024,Applied,Did Not Meet Requirements
APP00079,18,Male,Taita Taveta,KCSE,P007,Women Digital Skills,8/13/2024,Applied,Gender Mismatch
APP00080,20,Female,Nakuru,Diploma,P008,Web Development Classes,4/19/2024,Applied,Did Not Meet Requirements
APP00081,20,Female,Mombasa,KCSE,P002,Technovation,2/14/2025,Enrolled,
APP00082,18,Female,Taita Taveta,KCSE,P004,Africa Code Week,8/30/2024,Qualified,Could Not Be Reached
APP00083,27,Female,Mombasa,Certificate,P001,STEM Cafe Kenya,3/31/2025,Interviewed,Cohort Full
APP00084,20,Female,Tana River,KCSE,P008,Web Development Classes,8/5/2025,Applied,Did Not Meet Requirements
APP00085,20,Female,Kisumu,KCSE,P006,Mombasa Girls in STEM,9/7/2024,Applied,Incomplete Application
APP00086,21,Female,Kisumu,Certificate,P005,Django Girls,8/26/2024,Applied,Did Not Meet Requirements
APP00087,23,Male,Mombasa,Certificate,P005,Django Girls,4/15/2024,Applied,Gender Mismatch
APP00088,25,Female,Kwale,Bachelor's,P005,Django Girls,8/14/2024,Enrolled,
APP00089,19,Female,Kisumu,KCSE,P005,Django Girls,7/10/2024,Qualified,No Response
APP00090,20,Female,Nakuru,Certificate,P004,Africa Code Week,3/8/2025,Interviewed,Low Interview Score
APP00091,22,Female,Mombasa,KCSE,P003,Code Hack,4/23/2024,Applied,Did Not Meet Requirements
APP00092,35,Female,Lamu,Diploma,P003,Code Hack,4/25/2024,Enrolled,
APP00093,23,Female,Nakuru,Bachelor's,P004,Africa Code Week,9/30/2024,Applied,Did Not Meet Requirements
APP00094,23,Female,Kilifi,Certificate,P002,Technovation,7/12/2025,Applied,Incomplete Application
APP00095,18,Female,Mombasa,Certificate,P001,STEM Cafe Kenya,4/22/2025,Enrolled,
APP00096,21,Female,Nakuru,KCSE,P002,Technovation,1/25/2025,Enrolled,
APP00097,25,Female,Taita Taveta,KCSE,P003,Code Hack,3/11/2025,Applied,Did Not Meet Requirements
APP00098,25,Female,Nairobi,Bachelor's,P003,Code Hack,9/30/2025,Qualified,No Response
APP00099,22,Female,Taita Taveta,KCSE,P007,Women Digital Skills,1/9/2024,Qualified,No Response
APP00100,31,Female,Nairobi,Diploma,P003,Code Hack,4/14/2025,Applied,Did Not Meet Requirements
APP00101,31,Female,Nairobi,Diploma,P004,Africa Code Week,2/20/2024,Enrolled,
APP00102,18,Female,Kilifi,KCSE,P004,Africa Code Week,9/15/2024,Applied,Incomplete Application
APP00103,31,Female,Mombasa,Bachelor's,P004,Africa Code Week,4/14/2025,Applied,Did Not Meet Requirements
APP00104,28,Female,Lamu,Bachelor's,P005,Django Girls,8/4/2024,Applied,Incomplete Application
APP00105,26,Female,Kwale,KCSE,P005,Django Girls,4/2/2024,Applied,Incomplete Application
APP00106,24,Female,Nakuru,KCSE,P001,STEM Cafe Kenya,3/12/2024,Applied,Incomplete Application
APP00107,32,Female,Kisumu,Bachelor's,P002,Technovation,2/5/2025,Interviewed,Low Interview Score
APP00108,21,Female,Kisumu,KCSE,P004,Africa Code Week,3/24/2024,Interviewed,Declined Offer
APP00109,20,Female,Lamu,KCSE,P001,STEM Cafe Kenya,1/2/2024,Qualified,Could Not Be Reached
APP00110,30,Female,Kisumu,Bachelor's,P006,Mombasa Girls in STEM,8/15/2024,Enrolled,
APP00111,31,Female,Kwale,Bachelor's,P006,Mombasa Girls in STEM,8/15/2024,Applied,Incomplete Application
APP00112,28,Female,Nairobi,Bachelor's,P005,Django Girls,3/31/2025,Interviewed,Cohort Full
APP00113,31,Female,Kisumu,Diploma,P005,Django Girls,4/16/2025,Enrolled,
APP00114,26,Female,Kisumu,Certificate,P001,STEM Cafe Kenya,6/16/2025,Qualified,No Response
APP00115,18,Female,Mombasa,KCSE,P002,Technovation,2/11/2025,Enrolled,
APP00116,20,Female,Kisumu,KCSE,P006,Mombasa Girls in STEM,8/1/2025,Interviewed,Declined Offer
APP00117,23,Female,Nairobi,Diploma,P008,Web Development Classes,6/12/2024,Enrolled,
APP00118,30,Female,Mombasa,Master's,P005,Django Girls,1/31/2024,Applied,Incomplete Application
APP00119,20,Female,Kilifi,KCSE,P007,Women Digital Skills,1/17/2024,Applied,Did Not Meet Requirements
APP00120,34,Male,Nairobi,Bachelor's,P004,Africa Code Week,7/7/2025,Applied,Gender Mismatch
APP00121,18,Female,Kisumu,KCSE,P005,Django Girls,9/19/2025,Qualified,Could Not Be Reached
APP00122,26,Female,Lamu,KCSE,P007,Women Digital Skills,8/5/2024,Interviewed,Low Interview Score
APP00123,22,Male,Kisumu,KCSE,P002,Technovation,6/25/2024,Applied,Gender Mismatch
APP00124,24,Female,Nairobi,Diploma,P005,Django Girls,2/5/2025,Applied,Did Not Meet Requirements
APP00125,29,Female,Taita Taveta,Diploma,P006,Mombasa Girls in STEM,4/20/2024,Applied,Did Not Meet Requirements
APP00126,27,Female,Mombasa,Diploma,P003,Code Hack,4/14/2025,Applied,Did Not Meet Requirements
APP00127,34,Female,Kilifi,Bachelor's,P003,Code Hack,6/13/2024,Enrolled,
APP00128,21,Male,Nairobi,Diploma,P002,Technovation,8/20/2025,Applied,Gender Mismatch
APP00129,25,Female,Kisumu,Certificate,P007,Women Digital Skills,9/14/2024,Qualified,No Response
APP00130,26,Male,Mombasa,Bachelor's,P007,Women Digital Skills,9/28/2025,Applied,Gender Mismatch
APP00131,21,Female,Mombasa,KCSE,P005,Django Girls,6/25/2024,Interviewed,Declined Offer
APP00132,25,Female,Nairobi,Certificate,P001,STEM Cafe Kenya,2/23/2025,Qualified,Interview Slots Full
APP00133,24,Male,Kisumu,KCSE,P003,Code Hack,1/25/2025,Applied,Gender Mismatch
APP00134,26,Female,Lamu,Certificate,P008,Web Development Classes,4/27/2024,Qualified,No Response
APP00135,27,Female,Taita Taveta,KCSE,P001,STEM Cafe Kenya,8/4/2024,Enrolled,
APP00136,27,Female,Mombasa,Diploma,P008,Web Development Classes,7/18/2024,Enrolled,
APP00137,27,Female,Mombasa,Certificate,P001,STEM Cafe Kenya,4/9/2025,Qualified,Interview Slots Full
APP00138,18,Female,Taita Taveta,KCSE,P003,Code Hack,4/26/2024,Qualified,Interview Slots Full
APP00139,26,Female,Kisumu,KCSE,P008,Web Development Classes,9/13/2024,Applied,Incomplete Application
APP00140,27,Female,Nakuru,Diploma,P005,Django Girls,4/22/2024,Applied,Incomplete Application
APP00141,18,Female,Nairobi,Diploma,P004,Africa Code Week,4/2/2024,Qualified,Interview Slots Full
APP00142,25,Male,Mombasa,Certificate,P003,Code Hack,8/6/2024,Applied,Gender Mismatch
APP00143,19,Female,Lamu,KCSE,P006,Mombasa Girls in STEM,4/10/2025,Applied,Did Not Meet Requirements
APP00144,21,Female,Kilifi,Certificate,P008,Web Development Classes,2/9/2024,Qualified,No Response
APP00145,25,Female,Mombasa,KCSE,P004,Africa Code Week,7/10/2025,Qualified,No Response
APP00146,31,Male,Lamu,Bachelor's,P004,Africa Code Week,3/16/2024,Applied,Gender Mismatch
APP00147,23,Female,Nairobi,Certificate,P002,Technovation,1/9/2024,Interviewed,Low Interview Score
APP00148,27,Female,Kisumu,Diploma,P008,Web Development Classes,2/1/2025,Enrolled,
APP00149,26,Female,Nairobi,Certificate,P004,Africa Code Week,3/12/2024,Qualified,Could Not Be Reached
APP00150,31,Female,Taita Taveta,Bachelor's,P006,Mombasa Girls in STEM,9/17/2025,Interviewed,Cohort Full
APP00151,22,Female,Kwale,Certificate,P003,Code Hack,4/4/2025,Applied,Did Not Meet Requirements
APP00152,18,Female,Mombasa,KCSE,P001,STEM Cafe Kenya,3/7/2025,Qualified,Interview Slots Full
APP00153,21,Female,Kilifi,Diploma,P005,Django Girls,9/13/2024,Applied,Did Not Meet Requirements
APP00154,18,Female,Mombasa,KCSE,P008,Web Development Classes,1/4/2025,Qualified,No Response
APP00155,23,Female,Mombasa,Diploma,P005,Django Girls,8/10/2025,Applied,Did Not Meet Requirements
APP00156,20,Female,Nakuru,KCSE,P005,Django Girls,3/22/2024,Enrolled,
APP00157,19,Male,Kilifi,Certificate,P001,STEM Cafe Kenya,1/23/2024,Applied,Gender Mismatch
APP00158,19,Female,Nairobi,KCSE,P003,Code Hack,1/14/2024,Interviewed,Cohort Full
APP00159,20,Female,Mombasa,Diploma,P004,Africa Code Week,8/7/2024,Applied,Incomplete Application
APP00160,26,Female,Nakuru,Certificate,P008,Web Development Classes,1/30/2025,Enrolled,
APP00161,24,Female,Nairobi,Diploma,P003,Code Hack,4/23/2025,Qualified,Interview Slots Full
APP00162,29,Female,Nairobi,Bachelor's,P004,Africa Code Week,7/1/2025,Qualified,No Response
APP00163,18,Female,Lamu,KCSE,P003,Code Hack,3/16/2025,Qualified,Interview Slots Full
APP00164,20,Female,Mombasa,KCSE,P004,Africa Code Week,4/7/2025,Qualified,No Response
APP00165,31,Female,Tana River,Bachelor's,P004,Africa Code Week,8/31/2025,Interviewed,Declined Offer
APP00166,21,Female,Taita Taveta,KCSE,P007,Women Digital Skills,2/4/2025,Applied,Incomplete Application
APP00167,18,Female,Nakuru,KCSE,P004,Africa Code Week,6/27/2024,Qualified,Could Not Be Reached
APP00168,26,Female,Tana River,Diploma,P002,Technovation,3/7/2024,Qualified,Could Not Be Reached
APP00169,24,Female,Nakuru,Certificate,P007,Women Digital Skills,8/4/2025,Interviewed,Declined Offer
APP00170,19,Female,Mombasa,KCSE,P004,Africa Code Week,2/23/2025,Applied,Incomplete Application
APP00171,22,Female,Nairobi,KCSE,P001,STEM Cafe Kenya,6/24/2024,Enrolled,
APP00172,19,Female,Mombasa,Certificate,P001,STEM Cafe Kenya,4/26/2025,Interviewed,Low Interview Score
APP00173,19,Female,Nakuru,KCSE,P006,Mombasa Girls in STEM,7/22/2024,Applied,Incomplete Application
APP00174,26,Female,Kilifi,KCSE,P006,Mombasa Girls in STEM,8/10/2024,Qualified,Interview Slots Full
APP00175,22,Female,Nairobi,Diploma,P001,STEM Cafe Kenya,8/14/2024,Applied,Did Not Meet Requirements
APP00176,19,Female,Nairobi,Certificate,P005,Django Girls,4/15/2025,Enrolled,
APP00177,23,Female,Nakuru,Certificate,P001,STEM Cafe Kenya,3/29/2025,Enrolled,
APP00178,27,Female,Nakuru,Certificate,P001,STEM Cafe Kenya,9/14/2024,Qualified,Could Not Be Reached
APP00179,25,Female,Mombasa,KCSE,P004,Africa Code Week,4/23/2025,Applied,Did Not Meet Requirements
APP00180,19,Female,Nakuru,KCSE,P003,Code Hack,9/13/2025,Interviewed,Low Interview Score
APP00181,22,Female,Nakuru,KCSE,P004,Africa Code Week,2/8/2024,Qualified,No Response
APP00182,18,Female,Nairobi,KCSE,P001,STEM Cafe Kenya,9/10/2024,Qualified,Could Not Be Reached
APP00183,33,Female,Nairobi,Bachelor's,P002,Technovation,6/14/2025,Interviewed,Declined Offer
APP00184,23,Female,Nakuru,Bachelor's,P004,Africa Code Week,3/28/2025,Enrolled,
APP00185,25,Female,Nakuru,Diploma,P003,Code Hack,7/22/2025,Applied,Incomplete Application
APP00186,27,Male,Lamu,Diploma,P005,Django Girls,3/21/2024,Applied,Gender Mismatch
APP00187,21,Female,Taita Taveta,Diploma,P005,Django Girls,8/1/2025,Applied,Incomplete Application
APP00188,20,Female,Tana River,KCSE,P002,Technovation,7/24/2025,Applied,Did Not Meet Requirements
APP00189,20,Female,Kisumu,Certificate,P002,Technovation,6/27/2025,Applied,Incomplete Application
APP00190,18,Female,Kisumu,Diploma,P001,STEM Cafe Kenya,8/25/2025,Enrolled,
APP00191,33,Female,Tana River,Diploma,P008,Web Development Classes,9/4/2024,Applied,Incomplete Application
APP00192,20,Female,Kwale,Certificate,P004,Africa Code Week,8/8/2025,Interviewed,Declined Offer
APP00193,33,Female,Kwale,Bachelor's,P001,STEM Cafe Kenya,8/20/2025,Enrolled,
APP00194,20,Female,Tana River,KCSE,P002,Technovation,7/7/2024,Qualified,Interview Slots Full
APP00195,23,Female,Mombasa,Bachelor's,P001,STEM Cafe Kenya,8/1/2024,Applied,Did Not Meet Requirements
APP00196,23,Female,Nairobi,Diploma,P008,Web Development Classes,2/1/2025,Applied,Incomplete Application
APP00197,28,Female,Nairobi,Master's,P001,STEM Cafe Kenya,1/24/2024,Enrolled,
APP00198,19,Female,Mombasa,KCSE,P001,STEM Cafe Kenya,1/7/2025,Enrolled,
APP00199,19,Female,Kwale,KCSE,P007,Women Digital Skills,2/16/2025,Qualified,Could Not Be Reached
APP00200,28,Female,Nairobi,Master's,P008,Web Development Classes,2/16/2025,Qualified,No Response
APP00201,24,Female,Nakuru,Certificate,P004,Africa Code Week,2/14/2025,Qualified,Interview Slots Full
APP00202,22,Female,Nairobi,KCSE,P008,Web Development Classes,8/5/2024,Applied,Did Not Meet Requirements
APP00203,33,Male,Mombasa,Master's,P002,Technovation,6/17/2024,Applied,Gender Mismatch
APP00204,18,Female,Lamu,Diploma,P004,Africa Code Week,2/19/2025,Enrolled,
APP00205,23,Female,Kilifi,Bachelor's,P005,Django Girls,4/30/2025,Qualified,No Response
APP00206,30,Female,Taita Taveta,Bachelor's,P008,Web Development Classes,9/26/2024,Qualified,Could Not Be Reached
APP00207,21,Female,Taita Taveta,KCSE,P006,Mombasa Girls in STEM,6/23/2025,Qualified,Could Not Be Reached
APP00208,20,Female,Kisumu,KCSE,P007,Women Digital Skills,4/21/2025,Applied,Incomplete Application
APP00209,24,Female,Nakuru,Bachelor's,P004,Africa Code Week,7/14/2025,Interviewed,Declined Offer
APP00210,18,Female,Kilifi,KCSE,P003,Code Hack,8/5/2024,Applied,Incomplete Application
APP00211,18,Female,Mombasa,Diploma,P002,Technovation,6/8/2025,Applied,Did Not Meet Requirements
APP00212,22,Female,Kwale,KCSE,P001,STEM Cafe Kenya,3/13/2024,Applied,Did Not Meet Requirements
APP00213,23,Female,Nairobi,Bachelor's,P005,Django Girls,1/28/2024,Applied,Incomplete Application
APP00214,32,Female,Kisumu,Master's,P004,Africa Code Week,2/17/2024,Qualified,Interview Slots Full
APP00215,35,Female,Nairobi,Master's,P004,Africa Code Week,4/29/2025,Interviewed,Cohort Full
APP00216,25,Female,Mombasa,Certificate,P008,Web Development Classes,3/7/2025,Applied,Incomplete Application
APP00217,27,Female,Nairobi,Diploma,P006,Mombasa Girls in STEM,7/25/2024,Applied,Did Not Meet Requirements
APP00218,20,Female,Taita Taveta,KCSE,P002,Technovation,1/19/2024,Interviewed,Cohort Full
APP00219,22,Female,Lamu,Diploma,P005,Django Girls,4/18/2025,Qualified,Could Not Be Reached
APP00220,26,Female,Nairobi,Bachelor's,P004,Africa Code Week,2/26/2025,Qualified,Interview Slots Full
APP00221,18,Female,Lamu,KCSE,P008,Web Development Classes,6/3/2025,Qualified,No Response
APP00222,28,Female,Nairobi,Master's,P007,Women Digital Skills,1/14/2024,Qualified,No Response
APP00223,18,Female,Kisumu,KCSE,P004,Africa Code Week,3/29/2024,Applied,Incomplete Application
APP00224,20,Female,Kilifi,Diploma,P007,Women Digital Skills,3/11/2025,Qualified,Interview Slots Full
APP00225,29,Female,Mombasa,Bachelor's,P001,STEM Cafe Kenya,7/13/2024,Interviewed,Cohort Full
APP00226,25,Female,Mombasa,Diploma,P001,STEM Cafe Kenya,7/8/2025,Enrolled,
APP00227,22,Female,Kisumu,KCSE,P003,Code Hack,8/21/2024,Qualified,No Response
APP00228,25,Female,Kilifi,Diploma,P002,Technovation,4/14/2025,Qualified,Could Not Be Reached
APP00229,22,Female,Mombasa,Certificate,P004,Africa Code Week,2/19/2024,Interviewed,Low Interview Score
APP00230,22,Female,Taita Taveta,KCSE,P004,Africa Code Week,8/23/2024,Qualified,Could Not Be Reached
APP00231,18,Female,Mombasa,Certificate,P001,STEM Cafe Kenya,6/20/2024,Applied,Did Not Meet Requirements
APP00232,18,Male,Mombasa,KCSE,P006,Mombasa Girls in STEM,8/17/2025,Applied,Gender Mismatch
APP00233,30,Female,Nairobi,Diploma,P003,Code Hack,1/5/2024,Qualified,Interview Slots Full
APP00234,24,Female,Taita Taveta,KCSE,P003,Code Hack,8/6/2025,Qualified,Interview Slots Full
APP00235,19,Female,Kisumu,KCSE,P005,Django Girls,9/21/2025,Qualified,Interview Slots Full
APP00236,23,Male,Mombasa,Bachelor's,P007,Women Digital Skills,7/12/2024,Applied,Gender Mismatch
APP00237,28,Female,Tana River,Master's,P002,Technovation,3/20/2024,Applied,Did Not Meet Requirements
APP00238,22,Female,Nakuru,Diploma,P004,Africa Code Week,6/18/2024,Applied,Did Not Meet Requirements
APP00239,21,Male,Nairobi,KCSE,P007,Women Digital Skills,2/4/2025,Applied,Gender Mismatch
APP00240,23,Female,Mombasa,Diploma,P004,Africa Code Week,6/1/2025,Enrolled,
APP00241,22,Female,Mombasa,Certificate,P004,Africa Code Week,4/3/2025,Applied,Incomplete Application
APP00242,21,Female,Kisumu,KCSE,P008,Web Development Classes,1/23/2025,Qualified,No Response
APP00243,27,Female,Kisumu,Certificate,P007,Women Digital Skills,7/29/2024,Enrolled,
APP00244,21,Female,Kisumu,KCSE,P006,Mombasa Girls in STEM,6/30/2024,Applied,Incomplete Application
APP00245,19,Female,Kisumu,KCSE,P003,Code Hack,2/29/2024,Applied,Did Not Meet Requirements
APP00246,19,Female,Kilifi,KCSE,P004,Africa Code Week,1/10/2024,Applied,Incomplete Application
APP00247,22,Female,Tana River,Certificate,P007,Women Digital Skills,6/3/2025,Qualified,Interview Slots Full
APP00248,28,Female,Nairobi,Bachelor's,P007,Women Digital Skills,8/29/2025,Interviewed,Declined Offer
APP00249,18,Female,Kwale,KCSE,P005,Django Girls,8/24/2024,Enrolled,
APP00250,27,Male,Mombasa,Certificate,P008,Web Development Classes,4/23/2025,Applied,Gender Mismatch
APP00251,33,Female,Kisumu,Bachelor's,P003,Code Hack,4/4/2024,Enrolled,
APP00252,30,Female,Kilifi,Bachelor's,P003,Code Hack,3/9/2025,Enrolled,
APP00253,21,Female,Nairobi,KCSE,P004,Africa Code Week,8/7/2025,Qualified,Could Not Be Reached
APP00254,21,Male,Kisumu,KCSE,P007,Women Digital Skills,3/15/2025,Applied,Gender Mismatch
APP00255,19,Female,Mombasa,KCSE,P004,Africa Code Week,3/17/2025,Applied,Incomplete Application
APP00256,23,Female,Mombasa,Certificate,P003,Code Hack,9/21/2025,Applied,Incomplete Application
APP00257,26,Female,Nakuru,Bachelor's,P002,Technovation,9/10/2024,Applied,Did Not Meet Requirements
APP00258,25,Female,Lamu,KCSE,P006,Mombasa Girls in STEM,9/14/2024,Interviewed,Cohort Full
APP00259,34,Female,Kilifi,Diploma,P002,Technovation,8/9/2024,Applied,Did Not Meet Requirements
APP00260,26,Female,Nakuru,Certificate,P004,Africa Code Week,9/6/2025,Applied,Did Not Meet Requirements
APP00261,26,Female,Taita Taveta,Diploma,P005,Django Girls,6/8/2025,Interviewed,Cohort Full
APP00262,27,Female,Kilifi,Diploma,P001,STEM Cafe Kenya,2/17/2024,Qualified,No Response
APP00263,20,Female,Kilifi,KCSE,P004,Africa Code Week,8/19/2025,Applied,Incomplete Application
APP00264,29,Female,Kwale,Bachelor's,P002,Technovation,3/23/2024,Qualified,Could Not Be Reached
APP00265,20,Female,Mombasa,KCSE,P007,Women Digital Skills,2/26/2024,Qualified,Could Not Be Reached
APP00266,35,Female,Mombasa,Diploma,P005,Django Girls,1/12/2025,Interviewed,Cohort Full
APP00267,19,Female,Tana River,KCSE,P002,Technovation,9/16/2024,Applied,Incomplete Application
APP00268,19,Female,Kilifi,KCSE,P008,Web Development Classes,3/16/2024,Applied,Did Not Meet Requirements
